dom_edific,nombre_est,nomb_abrev,telefono,comunas,barrio,longitude,latitude,,,,,,,,
Fernández de Enciso 4451,Esc. Primaria p/Adultos Nº 01 Dr. Delfin Gallo,EPA 01,4501-8138,11,VILLA DEVOTO,-58.5114,-34.595,,,,,,,,
Avda. San Martín 6387,Jardín de Infantes Nucleado B Juana Azurduy (EPCjc 02/16º) [Sede],JIN B (02) (s),4574-2541,11,VILLA DEVOTO,-58.5046,-34.5939,,,,,,,,
Avda. San Martín 6387,Esc. Primaria Común N° 02 República de Panamá,EPjc 02,4572-3491,11,VILLA DEVOTO,-58.5046,-34.5939,,,,,,,,
Ayacucho 1849,Esc. Primaria p/Adultos Nº 03 (anexo),EPA 03 (a),4804-5038,2,RECOLETA,-58.3904,-34.5888,,,,,,,,
Larrea 854,Esc. Primaria Común Nº 23 Bernardino Rivadavia,EPjc 23,4961-3175,2,RECOLETA,-58.4024,-34.5984,,,,,,,,
Peña 2670,Esc. Primaria Común Nº 24 C. y F. Pizarro y M. Pizarro y Monje,EPjc 24,4805-6554,2,RECOLETA,-58.4016,-34.5882,,,,,,,,
Peña 2670,Centro Educativo Complementario de Idiomas Extranjeros Nº 01,CECIE 01,4805-6554,2,RECOLETA,-58.4016,-34.5882,,,,,,,,
Letonia (ex Paseo Estados Unidos del Brasil) y Avda. Antártida Argentina,Esc. Primaria Común Nº 25 Bandera Argentina,EPjc 25,4312-7793,1,RETIRO,-58.3706,-34.588,,,,,,,,
Letonia (ex Paseo Estados Unidos del Brasil) y Avda. Antártida Argentina,Centro Educativo de Nivel Secundario N° 90,CENS 90,4312-7793,1,RETIRO,-58.3706,-34.588,,,,,,,,
Letonia y Avda. Antártida Argentina,Centro de Alfabetización, Educación Básica y Trabajo N° 31,CAEByT 31,Dir de Educación del Adulto y del Adolescente,1,-58.3755,-34.5884,,,,,,,,
Letonia (ex Paseo Estados Unidos del Brasil) y Avda. Antártida Argentina,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,EEM 06/01,4312-7793/5906,1,RETIRO,-58.3706,-34.588,,,,,,,,
Jerónimo Salguero 2455,Esc. Primaria Común Nº 26 Adolfo Van Gelderen,EPjs 26,4804-2359/1386,14,PALERMO,-58.4101,-34.583,,,,,,,,
José Ignacio Rucci 3961,Jardín de Infantes Común Nº 04/21º,JIC 04/21,4601-2123 4602-1270,8,VILLA LUGANO,-58.4807,-34.6766,,,,,,,,
José Ignacio Rucci 3961,Esc. Primaria Común Nº 08 Judith y Demetrio Demarchi,EPjs 08,4601-2123,8,VILLA LUGANO,-58.4807,-34.6766,,,,,,,,
José Ignacio Rucci 3961,Centro Educativo Complementario de Idiomas Extranjeros Nº 25,CECIE 25,4601-2123,8,VILLA LUGANO,-58.4807,-34.6766,,,,,,,,
José Ignacio Rucci 3961,Esc. Primaria p/Adultos Nº 08 Judith y Demetrio Demarchi,EPA 08,4601-2123,8,VILLA LUGANO,-58.4807,-34.6766,,,,,,,,
Berón de Astrada 5920,Jardín de Infantes Común Nº 03/21º,JIC 03/21,4605-0785 4604-0065,8,VILLA LUGANO,-58.4634,-34.6889,,,,,,,,
Berón de Astrada 5920,Esc. Primaria Común Nº 09 Hector Panizza,EPjs 09,4605-0785,8,VILLA LUGANO,-58.4634,-34.6889,,,,,,,,
Avda. Larrazábal 5001,Jardín de Infantes Común Nº 07/21º,JIC 07/21,4604-0058,8,VILLA LUGANO,-58.4637,-34.6821,,,,,,,,
Avda. Larrazábal 5001,Esc. Primaria Común Nº 10 Italo Americo Foradori,EPjs 10,4605-1389,8,VILLA LUGANO,-58.4637,-34.6821,,,,,,,,
Avda. Piedra Buena 4863,Jardín de Infantes Nucleado C (EPCjs 13/21º),JIN C (13),4601-1165,8,VILLA RIACHUELO,-58.476,-34.6873,,,,,,,,
Avda. Ramón Castillo S/N,Centro Educativo de Nivel Secundario N° 41,CENS 41 AGP,4312-1123,1,RETIRO,-58.3681,-34.584,,,,,,,,
Tucumán 1647,Centro de Formación Profesional N° 13 - ASIMRA,CFP 13 ASIMRA,4371-1770,1,SAN NICOLAS,-58.3903,-34.6017,,,,,,,,
Larrea 854,Centro Educativo de Nivel Secundario N° 24,CENS 24 UPCN,4322-7072/1241,2,RECOLETA,-58.4024,-34.5984,,,,,,,,
Rawson 42,Centro Educativo de Nivel Secundario N° 35,CENS 35 UPCN,4322-1241/7072,5,ALMAGRO,-58.4255,-34.6125,,,,,,,,
Pichincha 467,Centro Educativo de Nivel Secundario N° 56,CENS 56 UPCN,,3,BALVANERA,-58.3994,-34.6148,,,,,,,,
Avda. Belgrano 637,Instituto de Formación Técnica Superior Nº 12,IFTS 12 UPCN,4322-1361/1241,1,MONTSERRAT,-58.3753,-34.6125,,,,,,,,
Rio de Janeiro 986,Esc. Primaria Común N° 07 Del Centenario,EPjc 07,4983-5877,6,CABALLITO,-58.4322,-34.6044,,,,,,,,
Tucumán 3233,Jardín de Infantes Nucleado B El Jardín del Abasto (EPCjs 08/02º) [Sede],JIN B (08) (s),4863-3413,3,BALVANERA,-58.4113,-34.6003,,,,,,,,
Tucumán 3233,Esc. Primaria Común Nº 08 Dr. Arturo Mateo Bas,EPjc 08,4862-1275,3,BALVANERA,-58.4113,-34.6003,,,,,,,,
El Salvador 4037,Jardín de Infantes Nucleado A (EPCjs 09/02º) [Sede],JIN A (09) (s),4862-0050,14,PALERMO,-58.42,-34.5927,,,,,,,,
El Salvador 4037,Esc. Primaria Común Nº 09 Cnel. Genaro Beron de Astrada,EPjc 09,4862-9460,14,PALERMO,-58.42,-34.5927,,,,,,,,
El Salvador 4037,Centro Educativo de Nivel Secundario N° 40,CENS 40,4862-9460,14,PALERMO,-58.42,-34.5927,,,,,,,,
Arenales 2733,Jardín de Infantes Común Nº 01/02º,JIC 01/02,4822-3224 4824-8146,2,RECOLETA,-58.4044,-34.5922,,,,,,,,
Arenales 2733,Esc. Primaria Común Nº 10 Gregoria Perez,EPjc 10,4822-3224 4823-2477,2,RECOLETA,-58.4044,-34.5922,,,,,,,,
Arenales 2733,Esc. Primaria p/Adultos Nº 10 Gregoria Perez,EPA 10,4822-3224,2,RECOLETA,-58.4044,-34.5922,,,,,,,,
Obrero Roberto Núñez 4355,Esc. Primaria Común Nº 11 Provincia de Jujuy,EPjc 11,4862-4789,5,ALMAGRO,-58.4265,-34.6034,,,,,,,,
Obrero Roberto Núñez 4355,Centro Educativo de Nivel Secundario N° 29,CENS 29,4862-4789,5,ALMAGRO,-58.4265,-34.6034,,,,,,,,
José Antonio Cabrera 3430,Jardín de Infantes Integral N° 04 DE 2,JII 04/02,4963-4565,2,RECOLETA,-58.4148,-34.5969,,,,,,,,
Avda. Pueyrredón 630,Esc. Primaria Común Nº 14 Juan Martin de Pueyrredon,EPjc 14,4961-9160,3,BALVANERA,-58.4053,-34.6028,,,,,,,,
Avda. Pueyrredón 630,Esc. Primaria p/Adultos Nº 14 Juan Martin de Pueyrredón,EPA 14,4961-9160,3,BALVANERA,-58.4053,-34.6028,,,,,,,,
Sarmiento 2832,Esc. Primaria Común Nº 16 Presidente Mitre,EPjc 16,4861-9775,3,BALVANERA,-58.4063,-34.6067,,,,,,,,
Sarmiento 2832,Esc. Primaria p/Adultos Nº 16 Presidente Mitre,EPA 16,4861-9775,3,BALVANERA,-58.4063,-34.6067,,,,,,,,
Avda. Angel Gallardo 250,Jardín de Infantes Nucleado C (EPCjc 17/02º) [Sede],JIN C (17) (s),4867-2749,6,CABALLITO,-58.4357,-34.604,,,,,,,,
Avda. Angel Gallardo 250,Esc. Primaria Común Nº 17 Presidente Uriburu,EPjc 17,4863-2923,6,CABALLITO,-58.4357,-34.604,,,,,,,,
Bartolomé Mitre 970,Centro Educativo de Nivel Secundario N° 05 (sede),CENS 05 s SEC,4345-0783,1,SAN NICOLAS,-58.3802,-34.6073,,,,,,,,
Bartolomé Mitre 970,Centro Educativo de Nivel Secundario N° 62,CENS 62 SEC,4345-0783 4961-3386,1,SAN NICOLAS,-58.3802,-34.6073,,,,,,,,
Bartolomé Mitre 970,Centro de Formación Profesional N° 10 - Raul Scalabrini Ortiz (sede) - SEC,CFP 10 SEC (s),4345-0783/1229/3923,1,SAN NICOLAS,-58.3802,-34.6073,,,,,,,,
Dr. Tomás Manuel de Anchorena 855,Esc. Primaria Común Nº 23 Tomas Manuel de Anchorena,EPjc 23,4961-3386,3,BALVANERA,-58.4082,-34.5988,,,,,,,,
Dr. Tomás Manuel de Anchorena 855,Centro Educativo de Nivel Secundario N° 01,CENS 01,4961-3386,3,BALVANERA,-58.4082,-34.5988,,,,,,,,
Dr. Tomás Manuel de Anchorena 855,Curso Vocacional de Folklore Nº 02,CV Folk 02,4961-3386,3,BALVANERA,-58.4082,-34.5988,,,,,,,,
Gral. Lucio Norberto Mansilla 3643,Instituto de Formación Técnica Superior Nº 18,IFTS 18,4823-2477,14,PALERMO,-58.4148,-34.5907,,,,,,,,
Jean Jaurés 870,Jardín de Infantes Nucleado B El Jardín del Abasto (EPCjs 24/02º),JIN B (24),4961-3657,3,BALVANERA,-58.4076,-34.6003,,,,,,,,
Jean Jaurés 870,Esc. Primaria Común Nº 24 Provincia de Catamarca,EPjs 24,4961-3657,3,BALVANERA,-58.4076,-34.6003,,,,,,,,
Jean Jaurés 870,Centro Educativo de Nivel Secundario N° 16,CENS 16,4961-3657,3,BALVANERA,-58.4076,-34.6003,,,,,,,,
José Antonio Cabrera 3484,Esc. Primaria Común Nº 13 República Islámica de Irán,EPjs 13,4963-4565/2640,2,RECOLETA,-58.4153,-34.5968,,,,,,,,
José Antonio Cabrera 3484,Esc. Primaria p/Adultos Nº 13 República Islámica de Iran,EPA 13,4963-2640,2,RECOLETA,-58.4153,-34.5968,,,,,,,,
Avda. Santa Fe 2778,Liceo Nº 01 Jose Figueroa Alcorta,Lic 01,4824-4403 4826-1395,2,RECOLETA,-58.406,-34.5929,,,,,,,,
Avda. Santa Fe 2778,Inst. de Tiempo Libre y Recreación,IES T L y R,4823-5308,2,RECOLETA,-58.406,-34.5929,,,,,,,,
Avda. Rivadavia 3577,Colegio Nº 03 Mariano Moreno,Col 03,4863-0813 4861-0370,5,ALMAGRO,-58.4168,-34.6107,,,,,,,,
Ayacucho 632,Inst. Superior del Prof. Dr. Joaquín V. Gonzalez,IES J V González,4863-3905/5933/3916,3,BALVANERA,-58.3957,-34.6018,,,,,,,,
Avda. Pte. Figueroa Alcorta 2977,Centro Educativo de Nivel Secundario N° 69,CENS 69 ATC,4808-2598,2,RECOLETA,-58.3974,-34.5806,,,,,,,,
Avda. Pte. Figueroa Alcorta 2977,Instituto de Formación Técnica Superior Nº 15,IFTS 15 ATC,4808-2598,2,RECOLETA,-58.3974,-34.5806,,,,,,,,
Laprida 1235,Esc. Primaria Común N° 02 Juan Larrea,EPjc 02,4821-5725,2,RECOLETA,-58.4075,-34.5945,,,,,,,,
Lambaré 975,Jardín de Infantes Nucleado C (EPCjs 03/02º),JIN C (03),4862-5682,5,ALMAGRO,-58.4301,-34.6031,,,,,,,,
Lambaré 975,Esc. Primaria Común N° 03 Manuel Sola,EPjs 03,4862-5682,5,ALMAGRO,-58.4301,-34.6031,,,,,,,,
Lambaré 975,CENOF Centro Lambaré,CENOF Lambaré,4862-5682,5,ALMAGRO,-58.4301,-34.6031,,,,,,,,
Soler 3929,Jardín de Infantes Nucleado A (EPCjs 04/02º),JIN A (04),4824-6364,14,PALERMO,-58.4171,-34.5918,,,,,,,,
Soler 3929,Esc. Primaria Común N° 04 Amadeo Jacques,EPjc 04,4824-6364,14,PALERMO,-58.4171,-34.5918,,,,,,,,
Gral. Lucio Norberto Mansilla 3643,Esc. Primaria Común N° 05 Ursula Llames de Lapuente,EPjc 05,4823-2477,14,PALERMO,-58.4148,-34.5907,,,,,,,,
Gral. Lucio Norberto Mansilla 3643,Centro Educativo Complementario de Idiomas Extranjeros Nº 02,CECIE 02,4823-2477,14,PALERMO,-58.4148,-34.5907,,,,,,,,
Don Bosco 4200,Curso Vocacional de Danza y Expresión Corporal Infantil Nº 07,CV Dan Inf 07,4981-6615,5,ALMAGRO,-58.4246,-34.614,,,,,,,,
Dr. Tomás Manuel de Anchorena 441,Esc. Primaria Común N° 06 Gral. Martín Rodríguez,EPjc 06,4861-2434,3,BALVANERA,-58.4105,-34.6047,,,,,,,,
Dr. Tomás Manuel de Anchorena 441,CENOF Centro Anchorena,CENOF Anchorena,4861-2434,3,BALVANERA,-58.4105,-34.6047,,,,,,,,
Rio de Janeiro 986,Jardín de Infantes Nucleado C (EPCjc 07/02º),JIN C (07),4983-5877 4862-7245,6,CABALLITO,-58.4322,-34.6044,,,,,,,,
Gurruchaga 739,Instituto de Formación Técnica Superior Nº 20,IFTS 20,4776-0364,15,VILLA CRESPO,-58.4386,-34.5955,,,,,,,,
Oruro 1310,Centro Educativo de Nivel Primario N° 08,CENP 08,,3,SAN CRISTOBAL,-58.4084,-34.6267,,,,,,,,
Estados Unidos 1273,Centro de Alfabetización, Educación Básica y Trabajo N° 49 Com Rey Jesús,CAEByT 49,Dir de Educación del Adulto y del Adolescente,3,-58.3839,-34.6185,,,,,,,,
Moreno 2135,Centro Educativo de Nivel Secundario N° 34,CENS 34 M Interior,4954-6776,3,BALVANERA,-58.3966,-34.6129,,,,,,,,
Adolfo Alsina 1825,Centro Educativo de Nivel Secundario N° 58,CENS 58 Senado,4959-3000 Int. 2794,3,BALVANERA,-58.3922,-34.6114,,,,,,,,
Aristóbulo del Valle 471,Jardín de Infantes Nucleado B (EPCjs 01/04º)[Sede],JIN B (01) (s),4362-1550,4,BOCA,-58.3615,-34.6332,,,,,,,,
Aristóbulo del Valle 471,Esc. Primaria Común N° 01 Alte. Guillermo Brown,EPjs 01,4362-1550,4,BOCA,-58.3615,-34.6332,,,,,,,,
Aristóbulo del Valle 471,Esc. de Educacion Media N° 07/04° Escuela de la Ribera,EEM 07/04,4362-1550,4,BOCA,-58.3615,-34.6332,,,,,,,,
Wenceslao Villafañe 453,Jardín de Infantes Nucleado B (EPCjs 02/04º),JIN B (02),4362-5614,4,BOCA,-58.3617,-34.6323,,,,,,,,
Wenceslao Villafañe 453,Esc. Primaria Común N° 02 Carlos Ramón Vignale,EPjs 02,4362-5614,4,BOCA,-58.3617,-34.6323,,,,,,,,
Wenceslao Villafañe 453,Esc. Primaria p/Adultos Nº 02 Carlos Ramon Vignale,EPA 02,4362-5614,4,BOCA,-58.3617,-34.6323,,,,,,,,
Rocha 1226,Jardín de Infantes Nucleado C (EPCjc 03/04º),JIN C (03),4301-1020/9421,4,BOCA,-58.3679,-34.6419,,,,,,,,
Rocha 1226,Esc. Primaria Común N° 03 Juan María Gutierrez,EPjc 03,4301-1020,4,BOCA,-58.3679,-34.6419,,,,,,,,
Benito Quinquela Martín 1081,Esc. Primaria Común N° 04 José Jacinto Berrutti,EPjs 04,4301-2226,4,BOCA,-58.3655,-34.6424,,,,,,,,
Valentín Gómez 3163,Colegio Nº 05 Bartolomé Mitre,Col 05,4862-6090 4863-3507,3,BALVANERA,-58.4101,-34.605,,,,,,,,
Valentín Gómez 3163,Colegio Nº 14 Juan José Paso,Col 14,4862-6090 4863-3507,3,BALVANERA,-58.4101,-34.605,,,,,,,,
Jerónimo Salguero 920,Esc. Técnica Nº 30 Dr. Norberto Piñero,ET 30,4863-0728,5,ALMAGRO,-58.4191,-34.5993,,,,,,,,
Güemes 3859,Esc. Normal Superior Nº 06 Vicente Lopez y Planes,ENS 06 V L y Planes,4824-2741/0383/4102,14,PALERMO,-58.4161,-34.5869,,,,,,,,
Güemes 3859,Inst. Superior del Prof. de Educación Especial,IES Prof Ed Especial,4826-5772,14,PALERMO,-58.4161,-34.5869,,,,,,,,
Moreno 2104,Esc. Primaria p/Adultos Nº 09 Mariano Moreno,EPA 09,4952-1949,3,BALVANERA,-58.3963,-34.6131,,,,,,,,
Pte. Luis Sáenz Peña 1215,Esc. Primaria Común Nº 11 Dr. Ricardo Gutierrez,EPjc 11,4305-0468,1,CONSTITUCION,-58.3873,-34.6226,,,,,,,,
Pte. Luis Sáenz Peña 1215,Centro Educativo Complementario de Idiomas Extranjeros Nº 03,CECIE 03,4305-0468,1,CONSTITUCION,-58.3873,-34.6226,,,,,,,,
Pte. Luis Sáenz Peña 463,Esc. Primaria Común Nº 14 Gral. Mariano Necochea,EPjc 14,4383-9105,1,MONTSERRAT,-58.3876,-34.6142,,,,,,,,
Pte. Luis Sáenz Peña 463,Instituto de Formación Técnica Superior Nº 22 Dr. Pedro Riu,IFTS 22,4383-9105,1,MONTSERRAT,-58.3876,-34.6142,,,,,,,,
México 2383,Jardín de Infantes Nucleado B (EPCjs 15/03º),JIN B (15),4942-6243,3,BALVANERA,-58.4,-34.6162,,,,,,,,
México 2383,Esc. Primaria Común Nº 15 Francisco Narciso de Laprida,EPjs 15,4942-6243,3,BALVANERA,-58.4,-34.6162,,,,,,,,
México 2383,Centro Educativo de Nivel Secundario N° 50,CENS 50,4942-6243,3,BALVANERA,-58.4,-34.6162,,,,,,,,
San Pedrito 1137,Curso Vocacional de Folklore Nº 01,CV Folk 01,4612-6188,7,FLORES,-58.4604,-34.6434,,,,,,,,
México 2383,Curso Vocacional de Folklore Nº 06,CV Folk 06,4942-6243 4941-2054,3,BALVANERA,-58.4,-34.6162,,,,,,,,
Salta 1226,Esc. Primaria Común Nº 16 Eustaquio Cardenas,EPjc 16,4305-1244,1,CONSTITUCION,-58.3828,-34.6226,,,,,,,,
Salta 1226,Esc. Primaria p/Adultos Nº 16 Eustaquio Cárdenas,EPA 16,4305-1244/0523,1,CONSTITUCION,-58.3828,-34.6226,,,,,,,,
Avda. Entre Ríos 1341,Jardín de Infantes Nucleado A (EPCjc 21/03º),JIN A (21),4304-7365/0636,3,SAN CRISTOBAL,-58.3916,-34.6245,,,,,,,,
Avda. Entre Ríos 1341,Esc. Primaria Común Nº 21 Carlos Pellegrini,EPjc 21,4304-0636 4941-0636,3,SAN CRISTOBAL,-58.3916,-34.6245,,,,,,,,
Avda. Entre Ríos 1341,Centro Educativo de Nivel Secundario N° 44,CENS 44,4304-0636 4373-0326,3,SAN CRISTOBAL,-58.3916,-34.6245,,,,,,,,
Avda. Entre Ríos 1359,Jardín de Infantes Nucleado A (EPCjs 22/03º),JIN A (22),4304-7365/0636,3,SAN CRISTOBAL,-58.3915,-34.6247,,,,,,,,
Avda. Entre Ríos 1359,Esc. Primaria Común Nº 22 Carlos Pellegrini,EPjs 22,4304-7365,3,SAN CRISTOBAL,-58.3915,-34.6247,,,,,,,,
Avda. Entre Ríos 1359,Esc. Primaria p/Adultos Nº 22 Carlos Pellegrini,EPA 22,4304-7365,3,SAN CRISTOBAL,-58.3915,-34.6247,,,,,,,,
Pasco 961,Jardín de Infantes Nucleado B (EPCjc 23/03º) [Sede],JIN B (23) (s),4308-2075,3,SAN CRISTOBAL,-58.3974,-34.6203,,,,,,,,
Pasco 961,Esc. Primaria Común Nº 23 Gral. Viamonte,EPjc 23,4941-9624 4308-0357,3,SAN CRISTOBAL,-58.3974,-34.6203,,,,,,,,
Pasco 961,Centro Educativo de Nivel Secundario N° 37 sede,CENS 37 s,4941-9624,3,SAN CRISTOBAL,-58.3974,-34.6203,,,,,,,,
Avda. San Juan 2277,Jardín de Infantes Nucleado A (EPCjc 25/03º) [Sede],JIN A (25) (s),4941-0916,3,SAN CRISTOBAL,-58.3973,-34.623,,,,,,,,
Avda. San Juan 2277,Esc. Primaria Común Nº 25 Gervasio Posadas,EPjc 25,4941-8450,3,SAN CRISTOBAL,-58.3973,-34.623,,,,,,,,
Avda. San Juan 2277,Esc. Primaria p/Adultos Nº 25 Gervasio Posadas,EPA 25,4941-8450,3,SAN CRISTOBAL,-58.3973,-34.623,,,,,,,,
Avda. San Juan 2277,Centro Educativo de Nivel Secundario N° 59,CENS 59,4941-0916,3,SAN CRISTOBAL,-58.3973,-34.623,,,,,,,,
Avda. San Juan 2277,Curso Vocacional de Danza y Expresión Corporal Infantil Nº 05,CV Dan Inf 05,4941-0916,3,SAN CRISTOBAL,-58.3973,-34.623,,,,,,,,
Avda. San Juan 1545,Centro Educativo de Nivel Secundario N° 18,CENS 18,4304-9938,1,CONSTITUCION,-58.3878,-34.6224,,,,,,,,
Avda. San Juan 1545,Colegio Nº 01 Bernardino Rivadavia,Col 01,4304-2574/9938,1,CONSTITUCION,-58.3878,-34.6224,,,,,,,,
Avda. San Juan 1545,Esc. de Comercio Nº 36 Isaac Halperin,EC 36,4304-2574/9938,1,CONSTITUCION,-58.3878,-34.6224,,,,,,,,
Chacabuco 922,Colegio Nº 07 Juan Martín de Pueyrredon,Col 07,4362-0055/5737,1,SAN TELMO,-58.3757,-34.6188,,,,,,,,
Avda. Entre Ríos 757,Centro Educativo de Nivel Secundario N° 04,CENS 04,4381-2531/7416,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. Entre Ríos 757,Centro Educativo de Nivel Secundario N° 27,CENS 27,4381-5271/3992/7416,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. Entre Ríos 757,Esc. de Comercio Nº 05 José de San Martín,EC 05,4381-2531/7416,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. Entre Ríos 757,Instituto de Formación Técnica Superior Nº 10,IFTS 10,4381-5271,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. Entre Ríos 757,Instituto de Formación Técnica Superior Nº 24,IFTS 24,4381-7416,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. Entre Ríos 757,Centro de Actividades Infantiles y Juveniles Club Balvanera,CAIyJ Balvanera,4381-2531,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Moreno 2135,Esc. de Comercio Nº 34 Monseñor Miguel de Andrea,EC 34,4952-1201/3257,3,BALVANERA,-58.3966,-34.6129,,,,,,,,
Avda. Independencia 668,Esc. de Educ. Espec. Nº 14 Constancio C. Vigil,EEE 14,4361-0828/9051,1,SAN TELMO,-58.3754,-34.6175,,,,,,,,
Avda. Independencia 672,Esc. de Educ. Espec. para la Form. Laboral Nº 37 Francisco Gatti,EEE-p-FL 37,4361-9407,1,SAN TELMO,-58.3755,-34.6175,,,,,,,,
Avda. San Juan 2128,Esc. de Educ. Espec .para la Form. Laboral Nº 22 Pedro B. Palacios Almafuerte,EEE-p-FL 22,4305-6925,3,SAN CRISTOBAL,-58.3953,-34.6231,,,,,,,,
Avda. San Juan 2128,CENOF Centro Integrador Almafuerte,CENOF Almafuerte,4305-6925,3,SAN CRISTOBAL,-58.3953,-34.6231,,,,,,,,
Piedras 1430,Esc. de Recuperación Nº 03,ER 03,4300-5599,1,SAN TELMO,-58.3764,-34.6253,,,,,,,,
Avda. Almte. Brown y Espinosa,Esc. de Recuperación Nº 04,ER 04,,4,BOCA,-58.3644,-34.63,,,,,,,,
Brandsen 1057,Centro Educativo de Nivel Secundario N° 39,CENS 39,4301-1944,4,BOCA,-58.3675,-34.637,,,,,,,,
Suárez 1145,Jardín de Infantes Nucleado C (EPCjc 13/04º),JIN C (13),4301-0912,4,BOCA,-58.3687,-34.6381,,,,,,,,
Suárez 1145,Esc. Primaria Común Nº 13 República de Chile,EPjc 13,4301-0912,4,BOCA,-58.3687,-34.6381,,,,,,,,
Suárez 1145,Esc. Primaria p/Adultos Nº 13 Republica de Chile,EPA 13,4301-0912,4,BOCA,-58.3687,-34.6381,,,,,,,,
Necochea 1136,Jardín de Infantes Nucleado B (EPCjc 14/04º),JIN B (14),4301-4098,4,BOCA,-58.3577,-34.6342,,,,,,,,
Necochea 1136,Esc. Primaria Común Nº 14 Agustin Rafael Caffarena,EPjc 14,4301-4098,4,BOCA,-58.3577,-34.6342,,,,,,,,
Hernandarias 556,Esc. Primaria Común Nº 18 Provincia de La Rioja,EPjc 18,4362-6621,4,BOCA,-58.3683,-34.6339,,,,,,,,
Río Cuarto 1249,Jardín de Infantes Nucleado C (EPCjc 19/04º),JIN C (19),4301-0301,4,BOCA,-58.3672,-34.6477,,,,,,,,
Río Cuarto 1249,Esc. Primaria Común Nº 19 República Italiana,EPjc 19,4301-0301,4,BOCA,-58.3672,-34.6477,,,,,,,,
Perú 946,Esc. Primaria Común Nº 21 Hipolito Vieytes,EPjs 21,4362-8688 4361-7080,1,SAN TELMO,-58.3742,-34.619,,,,,,,,
Humberto I° 343,Esc. Primaria Común Nº 22 Dr. Guillermo Rawson,EPjc 22,4361-1431,1,SAN TELMO,-58.3706,-34.6206,,,,,,,,
Humberto I° 343,Centro Educativo Complementario de Idiomas Extranjeros Nº 04,CECIE 04,4361-1431,1,SAN TELMO,-58.3706,-34.6206,,,,,,,,
California 1925,Jardín de Infantes Nucleado C (EPCjs 24/04º),JIN C (24),4301-5133,4,BARRACAS,-58.3757,-34.6472,,,,,,,,
California 1925,Esc. Primaria Común Nº 24 Presidente Derqui,EPjs 24,4301-5133,4,BARRACAS,-58.3757,-34.6472,,,,,,,,
Avda. San Juan 353,Jardín de Infantes Integral N° 9 DE4,JII 9/04,4361-1942,1,SAN TELMO,-58.3704,-34.6216,,,,,,,,
Avda. San Juan 353,Esc. Primaria Común Nº 26 Hipolito Yrigoyen,EPjc 26,4361-6823,1,SAN TELMO,-58.3704,-34.6216,,,,,,,,
Defensa 1431,Esc. Primaria Común Nº 27 Deán Funes,EPjc 27,4362-0200,1,SAN TELMO,-58.3714,-34.6247,,,,,,,,
Defensa 1431,CENOF Centro Defensa,CENOF Defensa,4362-0200,1,SAN TELMO,-58.3714,-34.6247,,,,,,,,
José Aarón Salmún Feijóo 1073,Jardín de Infantes Nucleado C (EPCjc 28/04º) [Sede],JIN C (28) (s),4302-7143,4,BARRACAS,-58.3778,-34.6441,,,,,,,,
José Aarón Salmún Feijóo 1073,Esc. Primaria Común Nº 28 Francisco Pascasio Moreno,EPjc 28,4301-9421,4,BARRACAS,-58.3778,-34.6441,,,,,,,,
Gral. Gregorio Aráoz de Lamadrid 676,Esc. Primaria p/Adultos Nº 29 Manuel Belgrano,EPA 29,4301-5096 4302-4335,4,BOCA,-58.3617,-34.6386,,,,,,,,
Gral. Gregorio Aráoz de Lamadrid 676,Centro Educativo de Nivel Secundario N° 45,CENS 45,4302-4335,4,BOCA,-58.3617,-34.6386,,,,,,,,
Avda. Don Pedro de Mendoza 1835,Jardín de Infantes Integral Nº 01/04º Benito Quinquela Martin,JII 01/04,4301-4038,4,BOCA,-58.3614,-34.6385,,,,,,,,
Benito Quinquela Martín 1649,Colegio Nº 11 Hipólito Yrigoyen,Col 11,4301-7606/2,4,BARRACAS,-58.3731,-34.6434,,,,,,,,
Benito Quinquela Martín 1649,Esc. de Comercio Nº 01 Joaquín V. Gonzalez,EC 01,4301-9677/3918/4341,4,BARRACAS,-58.3731,-34.6434,,,,,,,,
Bolívar 346,Esc. Politécnica Manuel Belgrano,ET M Belgrano,4331-7187,1,MONTSERRAT,-58.3732,-34.6119,,,,,,,,
Avda. Paseo Colón 650,Esc. Técnica Nº 01 Ing. Otto Krause,ET 01,4331-6444,1,MONTSERRAT,-58.3687,-34.6152,,,,,,,,
Avda. Don Pedro de Mendoza 1777,Esc. Técnica Nº 31 Maestro Quinquela,ET 31,4301-1775,4,BOCA,-58.3599,-34.6389,,,,,,,,
Wenceslao Villafañe 1342,Esc. de Bellas Artes Manuel Belgrano,EBArt M Belgrano,4362-0598/0853,4,BARRACAS,-58.3715,-34.6349,,,,,,,,
Jean Jaurés 735,Curso Vocacional de Folklore Nº 23,CV Folk 23,,3,BALVANERA,-58.4078,-34.6018,,,,,,,,
Río Cuarto 1993,Centro de Formación Profesional N° 01,CFP 01,4301-8678/5950,4,BARRACAS,-58.3755,-34.65,,,,,,,,
